,Topic Number,Top Words,Weight
138,12,just,0.010126554217734684
139,12,provide list,0.010054406063117345
140,13,students,0.045624199933621525
141,13,teacher,0.033841564571570545
142,13,ai,0.021247526332299097
143,13,detector,0.02074922757752378
144,13,teachers,0.0179630616547433
145,13,student,0.01671702309220919
146,13,use,0.016308599151018437
147,13,history,0.016243445362681703
148,13,shall,0.015837179771566602
149,13,used,0.015658149557041725
150,14,family,0.027804450759035725
151,14,love,0.02562323919401861
152,14,know,0.019080272259625084
153,14,note,0.018637919470784754
154,14,wife,0.017955198614592372
155,14,raping,0.016595476724072068
156,14,email,0.016592581956561415
157,14,sorry,0.015774635934636246
158,14,heart,0.015710798787768324
159,14,caused,0.015526472852166356
160,15,polite,0.09274496922499838
161,15,thank,0.0788426899049796
162,15,posted,0.07103877873739271
163,15,ag0,0.05659399370853262
164,15,thanking,0.038012695184162754
165,15,gpt,0.03289067687676773
166,15,talking,0.031708685651612445
167,15,reason,0.03157279054995231
168,15,feel,0.029222762754593175
169,15,say thank,0.028419469801144376
170,16,letter,0.18044638639391986
171,16,word,0.11381362682731085
172,16,letters,0.10200582984193625
173,16,letter letter,0.07036378843291309
174,16,words,0.05755827424116606
175,16,fruit,0.050408902839642084
176,16,fiveletter,0.035098863577522066
177,16,fiveletter word,0.035098863577522066
178,16,spelling,0.03405272081412681
179,16,spell,0.03360593522642806
180,17,musk,0.06738894159513238
181,17,elon,0.05813971128372198
182,17,elon musk,0.048405506313012756
183,17,ai,0.03782453486704105
184,17,carlson,0.02240979726517283
185,17,twitter,0.02209822680094294
186,17,news,0.01902256870073883
187,17,technology,0.018995144950311776
188,17,fox news,0.017661569311138763
189,17,fox,0.01721830704586393
190,18,italy,0.03260895803025107
191,18,data,0.029122733964634433
192,18,data protection,0.026004879318336005
193,18,protection,0.025494933399142206
194,18,italian,0.024892871108021547
195,18,di,0.01857226492186488
196,18,ban,0.016798554136796005
197,18,privacy,0.01678502174988489
198,18,openai,0.016470179280946247
199,18,che,0.015550995764606758
200,19,text,0.04578844060401091
201,19,files,0.04128575846601236
202,19,text files,0.037985888261317206
203,19,chatgpt,0.03694483051454172
204,19,share,0.035412388140712556
205,19,url,0.03381209663898254
206,19,app,0.03287443943121194
207,19,create,0.025998851525435407
208,19,world cup,0.0245409028375841
209,19,store,0.02207058410604551
